#Powered_by_ParaTranz
BUDGET_DEBT_DESC;
BUDGET_NATIONAL_BANK_DESC;
BUDGET_INTEREST_DESC;
BUDGET_CLOSE_WINDOW;Close Budget Window
BUDGET_TOTAL_EXPENSE;Total Expenses: ?Y$VAL$?W
BUDGET_SLIDER_ADMINISTRATION;Administration: ?Y$VAL$?W
BUDGET_EXPENSE_SLIDER_EDUCATION;Education: ?Y$VAL$?W
BUDGET_SLIDER_SOCIAL_SPENDING;Social Spending: ?Y$VAL$?W
BUDGET_SLIDER_MILITARY_SPENDING;Military Spending: ?Y$VAL$?W
BUDGET_INTEREST;Pay Interest: ?Y$VAL$?W
REMOVE_BUDGET_IMPORTS;Import Consumption: ?Y$VAL$?W
BUDGET_SUPPLYCOSTS;Supply Consumption: ?Y$VAL$?W
BUDGET_TAX;?Y$VAL$?W
BUDGET_BASE_TAX;Base Tax Efficiency: ?Y$VAL$?W%
BUDGET_TECH_TAX;From Technology: ?Y$VAL$%?W
BUDGET_STRATA_NEED;?Y$VAL$?W% have access to $TYPE$
BUDGET_STRATA_NO_NEED;?Y$VAL$?W% have no access to any goods
BUDGET_TOTAL_INCOME;Total Income: ?Y$VAL$?W
TAXES_POOR;Poor Strata Taxes: ?Y$VAL$?W
TAXES_MIDDLE;Middle Strata Taxes: ?Y$VAL$?W
TAXES_RICH;Rich Strata Taxes: ?Y$VAL$?W
TARIFFS_INCOME;Tariffs: ?Y$VAL$?W
REMOVE_BUDGET_EXPORTS;Exports: ?Y$VAL$?W
BUDGET_GOLD;Gold: ?Y$VAL$?W
BUDGET_ADMIN_EFFICIENCY;Administrative Efficiency: ?Y$PERC$%?W
BUDGET_ADMIN_EFFICIENCY_DESC;?Y$PERC$%?W of our nation are?Ybureaucrats?W\nFor maximum administrative efficiency, we need at least?Y$MAX$%?W bureaucrats?W\n
ADM_EXPLAIN_DESC;This required percentage is based on the following:\n
SHADOWY_INVESTOR;Private Investor
GUNBOAT_ALERT;$COUNTRY$ is using their naval power to force us to repay $VALUE$ of debt per day?!
BUDGET_COUNTRY;Country
BUDGET_AMOUNT;Amount
BUDGET_LOANS_TAKEN;Loans Taken
BUDGET_LOANS_GIVEN;Loans Given
DIPLOMATIC_BALANCE_DESC;Diplomatic Balance
BUDGET_LOAN_CANT_REPAY;We have no funds to repay our debts
BUDGET_CANT_LOAN;No funds available to lend to you
WORLD_YEAR;World in the year $YEAR$
FE_PLAYABLE_COUNTRIES;Playable Countries
FE_COUNTRY;Country
FE_WARS;Wars:
FE_POP;Pops
FE_IDEOLOGY;Ideology
FE_INDUSTRY;Industry:
FE_PRESTIGE;Prestige:
FE_RANK;Rank
FE_SCORE;Score
SAVE_PROG;Save Progress: $VALUE$%
TRANSERING_SAVE;Beginning save transfer...
LOADING_LOCAL_SAVE;Loading local save...
PLR_DISC;Player?Y$NAME$?W has left the game.
PLR_CONNECT;Player?Y$NAME$?W has joined the game.
REVERT_SAVE_CAL;Reverting to default database.
SAVE_TRANSFER_DONE;Game save transfer complete.
LOADING_MAP_SPRITES;Loading map...
LOADING_GUI_DEF;Loading GUI...
LOADING_DATABASES;Loading databases...
LOADING_DATABASES2;Loading databases II...
INIT_MAP_LOGIC;Initializing map...
CREATING_CHKSUM;Creating checksums...
LOADING_HISTORY;Loading history files...
LOADING_SOUNDS;Loading sounds...
PROC_FLAGS;Processing flags...
LOAD_FLAGS;Loading flags...
LOAD_GFX;Loading graphics...
CREATING_THE_WORLD;Creating world...
CREATING_TREES;Creating trees...
CREATING_BORDERS;Creating borders...
CREATING_RIVERS;Creating rivers...
MAP_PROPERLY_INIT;Map fully initialized...
CREATING_PROVINCE;Creating province #
CREATING_TEXTS;Creating texts...
LOAD_EVENTS;Loading events...
ADAPTING_HISTORY;Adapting history...
CALC_PATHS;Calculating paths...\nThis may take a few minutes
FE_TOGGLE;Quick Start
FE_TOGGLE_NORMAL;Custom Start
FE_SETTING_DIPLOMACY;Diplomacy
FE_SETTING_PRODUCTION;Production
FE_SETTING_POLITICS;Politics
FE_SETTING_INTEL;Intelligence
FE_SETTING_TECHNOLOGY;Technology
FE_SETTING_UNITINTERFACE;Military
DIFF_VERY_EASY;Very Easy
DIFF_EASY;Easy
DIFF_NORMAL;Normal
DIFF_HARD;Hard
DIFF_VERY_HARD;Very Hard
CORE_PAUSED;Paused
SM_SETTINGS;Settings
SM_GAME;Game
SM_VIDEO;Video
SM_AUDIO;Audio
SM_CONTROLS;Controls
SM_MASTER_VOLUME;Master Volume
SM_EFFECT_VOLUME;Effect Volume
SM_MUSIC_VOLUME;Music Volume
SM_SCROLL_SPEED;Scroll Speed
SM_ZOOM_SPEED;Zoom Speed
SM_MOUSE_SPEED;Mouse Speed
SM_RESOLUTION;Resolution
SM_REFRESH_RATE;Refresh Rate
SM_GAMMA;Gamma
SM_SHADOWS;Shadows
SM_TREES;Trees
SM_DIFFICULTY;Difficulty
SM_AUTOSAVE_INTERVAL;Autosave Interval
SM_APPLY;Apply
SM_BACK;Back
SM_ALERT;Alert
SM_RESTART;You need to restart the game for changes to take effect.
SM_WP;Error writing settings file, confirm the file is not write-protected and retry
FE_HOST;Host
FE_JOIN_LAN_GAME;Join LAN Game
FE_JOIN_INTERNET_GAME;Join Internet Game
FE_SCAN;Scan
FE_METASERVER;Meta Server
FE_BACK;Back
FE_PLAYER;Player
FE_PLAYER_NAME;Player Name:
FE_SINGLE_PLAYER;Single Player
FE_MULTI_PLAYER;Multi Player
FE_OPTIONS;Options
FE_CREDITS;Credits
FE_EXIT;Exit
FE_NATION_TO_PLAY;Select the country you want to play...
FE_NEW_GAME;Start New Game
FE_SAVE_GAME;Save Game
FE_HISTORICAL_START;Historical Start
FE_SAVED_GAMES;Start from Save
FE_SELECT_NATION;Click on the map to select a country...
FE_NO_COUNTRY_SELECTED;No country selected yet
FE_MILITARY;Military
FE_ECONOMY;Economy
FE_DIPLOMACY;Diplomacy
FE_DIFFICULTY;Difficulty:
FE_AT_WAR;At War:
FE_ALLIES;Allies:
FE_LOAD;Load
FE_BOOKEDMARKED;Campaign Date:
FE_STARTING_DATE;Start Date
FE_BOOKMARK_TITLE;Campaign Name
FE_BOOKMARK_DATE;Campaign Date
FE_LOCAL_GAMES;Local Games
FE_MY_GAME;My Game
FE_CANCEL;Cancel
PLAYER_LOST_TITLE;Player has disconnected.
PLAYER_LOST_DESC;Player $playername$ has disconnected. Please choose your action.
SERVER_LOST_TITLE;Server Lost!
REMOVE_SERVER_LOST_DESC;The server has been lost. The game is about to end.
OK;OK
CANCEL;Cancel
SAVE;Save
QUIT;Quit
START;Start
CONTINUE;Continue
CONNECTED;Connected.
NAME_TAKEN;Your name is already in use. Please leave and choose another name.
CONNECTING;Connecting...
BANNED;You have been banned from this game
CONNECTION_FAILED;Connection failed!
GAME_NOT_FOUND;Game not found.
WAITING_FOR_PLAYERS;Waiting for players...
ALL_PLAYERS_HERE;All players are present.
LOOKING_FOR_HOST;Looking for host...
LOST_PLAYER;A player has been lost...
SERVER_LOST;The server has been lost.
JOIN_IP_TITLE;Enter IP Address...
HOST_TITLE;Enter your game name...
HOST_BUTTON;Host
JOIN_BUTTON;Join
LOG_SETTING_LOG;Display in log.
LOG_SETTING_POPUP;Open popup.
LOG_SETTING_MAP;Display on map.
LOG_SETTING_IDLE;Display as idle info.
QUIT_TITLE;Quit Game
QUIT_DESC;Are you sure you want to quit the game and return to the desktop?
ZOOM_IN;Zoom In
ZOOM_OUT;Zoom Out
RESIGN_TITLE;Resign Game
RESIGN_DESC;Are you sure you want to resign and return to the main menu?
SCAN;Scan
STOP_SCAN;Stop Scan
TIP_KICK;Kick Player
TIP_BAN;Ban Player in this Session
PLAYER_KICKED;$NAME$ has been kicked by the host.
PLAYER_BANNED;$NAME$ has been banned by the host.
YOUKICKED;You have been kicked by the host due to your behavior!
BAD_VERSION;The host game is a different version!
JOINED_CHANNEL;Joined channel $CHAN$.
USER_JOINED_CHANNEL;$NAME$ joined the channel.
USER_LEFT_CHANNEL;$NAME$ left the channel.
METASERVER_GAME_INFO;Creator: $CREATOR$\nDate: $DATE$
MENU_BAR_SAVE_GAME;Save Game
MENU_BAR_GAME_OPTIONS;Game Options
MENU_BAR_GAME_RESIGN;Resign
MENU_BAR_MESSAGE_SETTINGS;Message Settings
MENU_BAR_QUIT;Quit
MENU_BAR_CLOSE;Close
MENU_BAR_SAVE;Save
MENU_BAR_SAVE_GAME_FILENAME;Game Save Filename:
CHAT_ALLIES;Allies
CHAT_FOES;Enemies
CHAT_ALL;All
CHATMESSAGE_SETUP;When you receive a chat message
CHATMESSAGE_HEADER;Chat Message
CHATMESSAGE_1;Communication access,
CHATMESSAGE_2;$TEXT$
CHATMESSAGE_3;*
CHATMESSAGE_4;*
CHATMESSAGE_5;*
CHATMESSAGE_6;*
CHATMESSAGE_LOG;$TEXT$
CHATMESSAGE_BTN1;OK
CHATMESSAGE_BTN2;OK
CHATMESSAGE_BTN3;View
CHATMESSAGE_MAP;*
MS_USERNAME;Username:
MS_PASSWORD;Password:
MS_CREATE_GAME;Create Game
MS_NAME;Name:
MS_USE_PASSWORD;Password Protected
MS_JOIN_GAME;Join Game
MS_PASSWD;Password
MS_ALERT;Alert
MS_CONNECTION_FAILED;Connection failed!
MS_CHANNELS;Channels
MS_METASERVER_LOGIN;Meta Server Login
MS_JOINGAME;Join Game
MS_REFRESH;Refresh
MS_START;Start
MS_BACK;Back
MS_JOIN;Join
MS_JOIN_CHANNEL;Join Channel
MS_LOGIN;Login
MS_CREATE;Create
MS_GAMES;Game List
MS_INFORMATION;Information
MS_CHAT;Chat
MS_CHANNEL_PLAYER;#Channel Name/Player List
MS_CONNECTION_LOST;Connection Lost.
PAUSE_RESUME;Continue
MESSAGECAT_COMBAT;Combat Messages
MESSAGECAT_DIPLOMACY;Diplomatic Messages
MESSAGECAT_UNITS;Unit Messages
MESSAGECAT_PROVS;Province Messages
MESSAGECAT_EVENTS;Event Messages
MESSAGECAT_OTHERS;Other Messages
MESSAGECAT_ALL;All Messages
MS_PASS;Password:
MS_NOT_CONNECTED;Not connected yet
MS_CONNECTING;Connecting...
MS_FAILED;Connection failed
MS_CANCEL;Cancel
MS_CONNECT;Connect
MS_EMPTY_USERNAME;You must enter a username!
MS_LOGGED_AS;Logged in as:
MS_CREDITS;Available Credits:
MS_MY_ITEMS;My Items
MS_CLOSE;Close
MS_PURCHASE_BONUS_CONTENT;Purchase Bonus Content
MS_DOWNLOAD;Download
MS_INSTALL;Install
MS_BUY_ITEM;Buy Item
ME_ERROR;Error:
ME_STATUS_OK;Status OK
GGCOINS_ERR_NO_MEM;Memory Allocation Error
GGCOINS_ERR_NET;Network Error
GGCOINS_ERR_HANDSHAKE;Connection Error - please check your firewall settings
GGCOINS_ERR_INVALID_RESPONSE;Invalid username or password
GGCOINS_ERR_NOT_SIGNED_IN;Not signed in
GGCOINS_ERR_NOT_FOUND;Item not found
GGCOINS_ERR_PRICE_INCREASED;Price has increased, please update your list
GGCOINS_ERR_OUT_OF_CREDITS;You do not have enough credits.
GGCOINS_ERR_DUPLICATE;You already own this item
ME_PURCHASE_SUCCESSFUL;Purchase successful! Please see the item description and install.
ME_BUY_ITEM;Buy Item
ME_BUY_ITEM_DESC;Are you sure you want to buy?Y$NAME$?W for?Y$CREDITS$?W credits? This cannot be undone.
MS_AVAILABLE_ITEMS;Available Items
MESSAGESETTINGS_ALL;All
MESSAGESETTINGS_COMBAT;Combat
MESSAGESETTINGS_DIPLOMACY;Diplomacy
MESSAGESETTINGS_UNITS;Units
MESSAGESETTINGS_PROVINCES;Provinces
MESSAGESETTINGS_EVENTS;Events
MESSAGESETTINGS_OTHER;Other
ME_CLICK_BUY;Click here to buy items with your credits
ME_DOWNLOAD;Click here to download your items
ME_DOWNLOAD_ERROR;Download Error!
ME_INSTALL;Click here to install your items. You may need to restart the game for them to take effect.
ME_BAD_VERSION;This item is provided for a newer version of the game, you need to update to at least version $NUMBER$.
ME_NO_FILE;This item does not include files
ME_INSTALL_SUCCESS;Installation successful!
ME_INSTALL_FAIL;Installation failed!
MESSAGE_IS_PAUSE;This type of message will $TRUTH$ display as a popup and pause the game.
MICRO_ERROR_TITLE;Error!
MICRO_ERROR_DESC;Cannot open ggcoins.dll,\nplease confirm the file exists or reinstall the game.
VERY_EASY;Very Easy
EASY;easy
NORMAL;normal
HARD;hard
VERY_HARD;Very Hard
NEVER;Never
MONTHLY;Monthly
HALFYEAR;Half Yearly
YEARLY;Yearly
FIVE_YEAR;Five Yearly
YEARS;Years
MONTHS;Months
LOST_PLR;Lost Player
SAVE_LOADED;Game save loaded...
COMPRESS_ERROR;Compression error...
MS_LOGOUT;Logout
on;on
off;off
very easy;very easy
easy;easy
normal;normal
hard;hard
very hard;very hard
SM_MULTISAMPLE;Multisample
RESTART_REQ;Restart Required
RESTART_REQ_DESC;Please restart the game for settings to take effect.
very_easy_player;Difficulty: Very Easy
easy_player;Difficulty: Easy
hard_player;Difficulty: Hard
very_hard_player;Difficulty: Very Hard
very_easy_ai;Difficulty: Very Easy
easy_ai;Difficulty: Easy
hard_ai;Difficulty: Hard
very_hard_ai;Difficulty: Very Hard
CORE_MP_PAUSED_NAME;$PLAYER$ has paused the game.
CORE_MP_PAUSED;$TIME$ until unpaused...
OOS_TITLE;Error!
OOS_DESC;Game desync!
army_base;Army
navy_base;Navy
infantry;Infantry
cavalry;Cavalry
cuirassier;Cuirassier
dragoon;Dragoon
engineer;Engineer
guard;Guard
hussar;Hussar
irregular;Irregular
artillery;Artillery
tank;Tank
plane;Airplane
commerce_raider;Commerce Raider
cruiser;Cruiser
frigate;Frigate
manowar;Ship of the Line
ironclad;Ironclad
dreadnought;Dreadnought
clipper_transport;Clipper Transport
steam_transport;Steam Transport
monitor;Monitor
army_base_short;A
navy_base_short;N
infantry_short;I
cavalry_short;C
cuirassier_short;Cu
dragoon_short;D
engineer_short;E
guard_short;G
irregular_short;Irr
hussar_short;H
artillery_short;Ar
tank_short;T
plane_short;P
commerce_raider_short;CR
cruiser_short;Cr
frigate_short;F
manowar_short;SL
ironclad_short;Ic
dreadnought_short;Dn
clipper_transport_short;CT
steam_transport_short;ST
monitor_short;M
MAX_STRENGTH;Max Strength
DEFAULT_ORG;Organisation
BUILD_TIME;Build Time
MAXIMUM_SPEED;Max Speed
TRANSPORT_WEIGHT;Transport Weight
SUPPLY_CONSUMPTION;Supply Consumption
COMBAT_WIDTH;Combat Width
TRANSPORT_CAPABILITY;Transport Capability
HULL;Hull
FORT_ADJUSTER;Fort
RIVER_ADJUSTER;River
UA_ATTACK;Attack
UA_DEFENCE;Defence
UA_MOVEMENT;Movement
UA_ATTRITION;Attrition
RECONAISSANCE;Reconnaissance
ATTACK;Attack
DEFENCE;Defence
DISCIPLINE;Discipline
SUPPORT;Support
MANUEVER;Manoeuvre
GUN_RANGE;Range
GUN_POWER;Firepower
REGIMENT_NAME;$NUM$th $TYPE$ Regiment
SUBUNIT_NAME;$NUM$$TYPE$
ARMY_NAME;$NUM$th Army
NAVY_NAME;$NUM$th Fleet
ST;st
ND;nd
TH;th
RD;rd
TRAIT_ATTACK;Attack
TRAIT_DEFEND;Defence
TRAIT_MORALE;Morale
TRAIT_ORGANISATION;Organisation
TRAIT_RECONAISSANCE;Reconnaissance
TRAIT_SPEED;Speed
TRAIT_ATTRITION;Attrition
TRAIT_EXPERIENCE;Experience
TRAIT_RELIABILITY;Reliability
no_personality;No Trait
aggressive;Aggressive
relentless;Relentless
active_p;Active
earnest;Earnest
persistant;Persistent
balanced_p;Balanced
cautious;Cautious
coolminded;Coolheaded
inspiring;Inspiring
gallant;Gallant
arrogant;Arrogant
vainglorious;Vainglorious
brutish;Brutish
bigoted;Bigoted
impetuous;Impetuous
polite;Polite
tactful;Tactful
diplomatic;Diplomatic
glory_hound;Glory Hound
vicious;Vicious
hellbent;Hellbent
deeply_religious;Deeply Religious
imperious;Imperious
choleric;Choleric
fanatic;Fanatic
irate;Irate
wrathful;Wrathful
calm;Calm
reserved;Reserved
harsh;Harsh
merciless;Merciless
implacable;Implacable
careful;Careful
meticulous;Meticulous
openminded;Openminded
charismatic;Charismatic
impulsive;Impulsive
intuitive;Intuitive
resourceful;Resourceful
romantic;Romantic
brash;Brash
daring;Daring
soldierly;Soldierly
disciplined;Disciplined
unflinching;Unflinching
bold;Bold
audacious;Audacious
heroic;Heroic
stout;Stout
stalwart;Stalwart
stouthearted;Stouthearted
steadfast;Steadfast
chivalrous;Chivalrous
ballsy;Ballsy
aweless;Aweless
dauntless;Dauntless
confident;Confident
manful;Manful
doughty;Doughty
gutsy;Gutsy
spirited;Spirited
resolute;Resolute
defiant;Defiant
able;Able
competent;Competent
expert;Expert
smart_p;Smart
intelligent;Intelligent
brilliant;Brilliant
sharp;Sharp
keen;Keen
clever;Clever
skilled;Skilled
efficient;Efficient
au_fait;Au Fait
indifferent;Indifferent
mediocre;Mediocre
lackluster;Lackluster
timid;Timid
chickenhearted;Chickenhearted
lilylivered;Lily-livered
soft;Soft
spineless;Spineless
unmanly;Unmanly
yellow;Yellow
pusillanimous;Pusillanimous
coward;Coward
craven;Craven
bastard;Bastard
shirker;Shirker
scared;Scared
maladroit;Maladroit
undisciplined;Undisciplined
incapable;Incapable
inept;Inept
inefficient;Inefficient
perverse;Perverse
unruly;Unruly
disorderly;Disorderly
careless;Careless
wretched;Wretched
pisspoor;Pisspoor
unsound;Unsound
strange;Strange
shrinking_violet;Shrinking Violet
no_background;No Background
war_college;War College
cavalry_school;Cavalry School
armchair_general;Armchair General
bureaucrat_speed;Bureaucrat
generals_aide;General's Aide
amateur;Amateur
madman;Madman
aristocrat;Aristocrat
drillmaster;Drillmaster
butcher;Butcher
exranker;Non-Commissioned Officer
adventurer;Adventurer
debutante;Debutante
colonial_b;Colonial
disgraced;Disgraced
priest;Priest
rising_star;Rising Star
politician;Politician
poet;Poet
cartographer;Cartographer
professor;Professor
old_school;Old School
eccentric_genius;Eccentric Genius
gifted_administrator;Gifted Administrator
innovative_tactician;Innovative Tactician
expert_raider;Expert Raider
natural_born_leader;Natural Born Leader
megalomaniac;Megalomaniac
hated;Hated
cursed_luck;Cursed Luck
clueless;Clueless
diplomat;Diplomat
powerful_friends;Powerful Friends
immoral;Immoral
womanizer;Womanizer
warmonger;Warmonger
corrupt;Corrupt
bootlicker;Bootlicker
sycophant;Sycophant
toady;Toady
yesman;Yes-Man
brownnoser;Brownnoser
spoiled;Spoiled
school_of_defense;School of Defense
school_of_offense;School of Offense
school_of_the_bayonet;School of the Bayonet
school_of_firepower;School of Firepower
artillerist;Artillerist
uncommonly_young;Uncommonly Young
sucker;Sucker
sad_sack;Sad Sack
unfit;Unfit
unqualified;Unqualified
pawn;Pawn
elderly;Elderly
incompetent;Incompetent
TYPE_INF;Infantry
TYPE_CAV;Cavalry
TYPE_TANKS;Tanks
TYPE_PLANES;Airplanes
TYPE_BIGSHIP;Capital Ships
TYPE_LIGHTSHIP;Light Ships
TYPE_TRANSPORT;Transports
TERRAIN_MOVEMENT_COST;Movement Cost:
TERRAIN_ATTACK;Attack:
TERRAIN_DEFENCE;Defence:
SUBTT_STRENGTH;Strength
SUBTT_ORG;Organisation
SUBTT_EXP;Experience
LOAD_CAPACITY_LABEL;Can carry $NUM$ units of weight.
TOTAL_WEIGHT;This unit has a transport weight of $NUM$ units.
NAVAL_COUNT;?Y$CAPITAL$?W capital ships,?Y$ESCORTS$?W escort ships and?Y$OTHER$?W other ships
LAND_COUNT;?Y$NUM$?W brigades
DISBAND_UNIT;Disband Unit
REMOVE_DISBAND_UNIT_DRO;Disbanding a unit reduces supply and fuel costs. If the unit still has strength, this also frees up manpower to reinforce units in more important areas.
NEW_UNIT;Create New Unit
NEW_UNIT_DRO;Creating a new unit creates an empty unit, allowing you to assign existing units to it
OSELECT_UNIT;Select
OSELECT_UNIT_DRO;If you have selected many units, this option lets you select this unit individually
DESELECT_UNIT;Deselect
DESELECT_UNIT_DRO;This button closes the current unit window
MERGE_UNITS;Merge Selected Units
MERGE_UNITS_DRO;Merging selected units turns all currently selected units into a single unit
REORGANISE_UNITS;Reorganise Two Units
NO_REORGANISE_UNITS;You can only reorganise when two units are selected
REORGANISE_UNITS_DRO;Reorganising two units allows you to move their subunits between them
TRANSFER_SUB;Transfer
TRANSFER_SUB_DRO;Click here to move this subunit from the current unit to another
CONFIRM_DISBAND_TITLE;Disband this unit?
CONFIRM_DISBAND_DESC;This removes the unit from the game permanently and you will no longer need to pay maintenance for it. Remaining manpower will be available for reuse.
SUNK_SHIP_LABEL;Ship sunk by $NAME$.
SUNK_SHIPS;Ships Sunk
NAME;Name
TRAITS;Traits
PRESTIGE_SCORE;Prestige: ?Y$VAL$?W
MILITARY_SCORE;Military: ?Y$VAL$?W
INDUSTRIAL_SCORE;Industry: ?Y$VAL$?W
BE_POPULATION;Pops:
BE_PROVINCES;Provinces:
BE_FACTORIES;Factories:
BE_LITERACY;Literacy:
BE_NAVY;Naval Ships:
BE_ARMY;Army Brigades:
BE_GOV;Government:
BE_PARTY;Ruling Party:
BA_WORK_FORCE;Workforce
BA_IDEOLOGY;Ideology
REMOVE_BE_GREAT_POWER;Great Power
REMOVE_BE_SECOND_RANK;Colonial Power
BE_IN_SPHERE_OF;In the sphere of $COUNTRY$
BE_INDEPENDENT_NATION;Independent Nation
BE_PRESTIGE;Prestige
BE_INDUSTRY;Industrial Score
BE_MILITARY;Military Score
GC_NAME;Grand Campaign
REMOVE_GC_DESC;The smoke of Waterloo has settled, and the ideals of the French Revolution are believed to have vanished with the joint efforts of European monarchs. After the upheavals of the Napoleonic Wars, European nations reached agreement at the Congress of Vienna, temporarily re-establishing peace on the long-troubled European continent. However, although the fires of revolution have been extinguished, the ideas of human rights, nationalism and liberalism will prove to be still alive and well. In the Americas, these same ideals brought a young republic to the brink of a devastating civil war. Princess Victoria is 16 years old, and she is about to ascend the throne as Queen of Great Britain, head of the most powerful industrial empire in the world. Victoria will usher in an era of lasting prosperity and progress, all the way until the outbreak of the First World War. In this era of unprecedented technological development, people will doubt what their ancestors believed for generations, and new doctrines will emerge. Across the oceans, in the rich lands of Asia and Africa, dark corners of the world, they strive to make their voices heard in the concert of European powers. Choose your instrument and begin to play the melody of the era!
BUILDING_NO_TECH;?Y$TECH$?W researched
BUILDING_AT_MAX;Level $CURR$/$MAX$
BUILDING_PORT_PROVINCE;Port Province
BUILDING_BLOCKED_BY;Blocked by $OTHER$
BUILDING_MUST_HAVE;Must have $OTHER$
BUILDING_NO_RAILWAYS;Economic policy allows construction
BUILDING_ANOTHER;Already building another building
BUILDING_CONSTRUCTION_TOOLTIP;Currently building?Y$NAME$?W, will be completed at?Y$DATE$?W at the earliest.
UNIT_CONSTRUCTION_TOOLTIP;Currently building?Y$NAME$?W, will be completed at?Y$DATE$?W at the earliest.
aeroplane_factory;Airplane Factory
barrel_factory;Tank Factory
automobile_factory;Automobile Factory
radio_factory;Radio Factory
telephone_factory;Telephone Factory
electric_gear_factory;Electronic Equipment Factory
machine_parts_factory;Machine Parts Factory
synthetic_oil_factory;Synthetic Oil Factory
fuel_refinery;Fuel Refinery
steamer_shipyard;Steamship Yard
luxury_clothes_factory;Luxury Clothes Factory
luxury_furniture_factory;Luxury Furniture Factory
steel_factory;Steel Mill
artillery_factory;Artillery Factory
clipper_shipyard;Clipper Shipyard
small_arms_factory;Small Arms Factory
furniture_factory;Furniture Factory
paper_mill;Paper Mill
regular_clothes_factory;Regular Clothes Factory
explosives_factory;Explosives Factory
ammunition_factory;Ammunition Factory
canned_food_factory;Canned Food Factory
dye_factory;Dye Factory
liquor_distillery;Liquor Distillery
winery;Winery
lumber_mill;Lumber Mill
fabric_factory;Fabric Factory
cement_factory;Cement Factory
glass_factory;Glass Factory
fertilizer_factory;Fertilizer Factory
naval_base;Naval Base
railroad;Railroad
aeroplane_factory_desc;Producing airplanes requires machine parts, electronic equipment and rubber.
barrel_factory_desc;A tank is simply a cannon mounted on a mobile chassis. Therefore, producing tanks requires automobiles and cannons.
automobile_factory_desc;Producing automobiles requires machine parts, electronic equipment and rubber.
