cholera_epidemic_small;霍乱爆发
EVTDESC1139;很长一段时间以来，本地土著中一直流传着在海韦尔德某处神秘的地方苹果般大小的金块就裸露在地表上。这则传说究竟起源于虚幻的想象还是真实的情况今日终见分晓，威特沃特斯兰德的勘探者挖到了黄金矿脉。淘金热的消息如野火般传遍整个世界，而因为蜂拥而入的淘金者，一个新城镇也拔地而起。这个省份今后将以一个简单的名字为人所知：“约翰内斯堡”。
EVTOPTA1139;打穿地表向下挖！
EVTNAME1140;在黑山发现黄金！
EVTDESC1140;陆军中校卡斯特从黑山发回报告，据他称数量可观的黄金已经在达科他领地被发现。淘金者和寻宝者从四处蜂拥而来，但是有些令人不安的报告说入夜后山里会传来奇怪的哭嚎声。有些人宣称苏族人已经踏上了征途……
EVTOPTA1140;不可靠的传言
anarchic_bomb_throwers;无政府主义掷弹者
citizen_guard;公民卫队
immoral_business;黑心商人
machine_politics;机器政治
mafia;黑社会
rotten_boroughs;腐败选区
spoil_system;政党分赃制
terrorist_cells;恐怖组织
trusts;托拉斯
desc_anarchic_bomb_throwers;治安预算太少导致对威胁到安全的如无政府主义者起义这样的事件的应对能力降低。
desc_citizen_guard;治安预算太少导致对威胁到安全的如街头帮派斗争这样的事件的应对能力降低。
desc_immoral_business;随着犯罪率的上升和政府控制力的下降，商人将变得越来越以其自身利益为中心。这会导致整个社会制度的崩塌，每个人都为了自己的利益而争斗。
desc_machine_politics;机器政治本质上是政客利用影响力贿赂少数人。在该制度内通常是以政府职位的委派来收取贿赂。
desc_mafia;如果一个省份的治安机构过分扩张，有组织的犯罪活动将会以黑社会的形式得以发展。这类组织将导致省份生产力的下降。
desc_rotten_boroughs;腐败选区是指拥有极少选民的小选区，很容易通过贿赂平民在这种选区胜出。
desc_spoil_system;缺乏足够的监察机构，政客将为攫取个人财富和荣誉而使用其政治权力和影响力。这会导致省份内所有民众的斗争性提高。
desc_terrorist_cells;省份拥有的治安人员太少，恐怖分子将更容易躲藏起来伺机发动袭击。
desc_trusts;政府对治安的投入太低导致一个省份内的财富被非常不公平地分配。富人越来越富，穷人越来越穷。
EVTNAME1200;无政府主义掷弹者
EVTDESC1200;治安预算太少导致对威胁到安全的如无政府主义者起义这样的事件的应对能力降低。
EVTOPTA1200;好的
EVTNAME1201;公民卫队
EVTDESC1201;治安预算太少导致对威胁到安全的如街头帮派斗争这样的事件的应对能力降低。
EVTOPTA1201;好的
EVTNAME1202;黑心商人
EVTDESC1202;随着犯罪率的上升和政府控制力的下降，商人将变得越来越以其自身利益为中心。这会导致整个社会制度的崩塌，每个人都为了自己的利益而争斗。
EVTOPTA1202;好的
EVTNAME1203;机器政治
EVTDESC1203;机器政治本质上是政客利用影响力贿赂少数人。在该制度内通常是以政府职位的委派来收取贿赂。
EVTOPTA1203;好的
EVTNAME1204;黑社会
EVTDESC1204;如果一个省份的治安机构过分扩张，有组织的犯罪活动将会以黑社会的形式得以发展。这类组织将导致省份生产力的下降。
EVTOPTA1204;好的
EVTNAME1205;腐败选区
EVTDESC1205;腐败选区是指拥有极少选民的小选区，很容易通过贿赂平民在这种选区胜出。
EVTOPTA1205;好的
EVTNAME1206;政党分赃制
EVTDESC1206;缺乏足够的监察机构，政客将为了他们自己的个人财富和荣誉而使用其权力和影响力。这会导致省份内所有民众的斗争性提高。
EVTOPTA1206;好的
EVTNAME1207;恐怖组织
EVTDESC1207;省份拥有的治安人员太少，恐怖分子将更容易躲藏起来伺机发动袭击。
EVTOPTA1207;好的
EVTNAME1208;托拉斯
EVTDESC1208;政府对治安的投入太低导致一个省份内的财富被非常不公平地分配。富人越来越富，穷人越来越穷。
EVTOPTA1208;好的
EVTNAME1209;无政府主义掷弹者不再是问题
EVTDESC1209;通过增加在治安方面的资金投入，我们已经增强了应对无政府主义掷弹者的能力。
EVTOPTA1209;很好
EVTNAME1210;公民卫队不再是问题
EVTDESC1210;通过增加在治安方面的资金投入，我们已经增强了应对公民卫队的能力。
EVTOPTA1210;很好
EVTNAME1211;黑心商人不再是问题
EVTDESC1211;通过增加在治安方面的资金投入，我们已经控制并减少了犯罪率。商人们不再只是把眼光放在他们的个人利益上，社会制度崩溃的风险大大降低，仅有少数人只顾争夺个人利益了。
EVTOPTA1211;很好
EVTNAME1212;机器政治不再是问题
EVTDESC1212;通过增加在治安方面的资金投入，我们已经增强了应对机器政治的能力。
EVTOPTA1212;很好
EVTNAME1213;黑社会不再是问题
EVTDESC1213;通过增加在治安方面的资金投入，我们已经增强了应对集团犯罪的能力。这种类型的组织将导致全省生产力的降低。
EVTOPTA1213;很好
EVTNAME1214;腐败选区不再是问题
EVTDESC1214;腐败选区是一种贿选的形式。通过增加在治安方面的资金投入，我们已经处理了小选区内的超额代表。
EVTOPTA1214;很好
EVTNAME1215;政党分赃制不再是问题
EVTDESC1215;通过增加在治安方面的资金投入，我们已经增添了一些监察机构，政治家通过使用其政治权力和影响力来攫取个人财富和荣誉的活动已经变得困难重重。$PROVINCENAME$民众的斗争性不再增加得那么快速了。
EVTOPTA1215;很好
EVTNAME1216;恐怖组织不再是问题
EVTDESC1216;通过增加$PROVINCENAME$的治安人员，恐怖组织不再有那么多的机会进行袭击了，也更加难以藏匿了。
EVTOPTA1216;很好
EVTNAME1217;托拉斯不再是问题
EVTDESC1217;通过增加在治安方面的资金投入，我们使$PROVINCENAME$的财富分配更平均了。贫富差距不再像前一段时间那样巨大了。
EVTOPTA1217;很好
REMOVE_EVTNAME2000;公共社区
REMOVE_EVTDESC2000;新移民来到了那里并开始寻找他们的归所。他们一起创建了一个社区，并希望得到这样做的允许。由于新移民对这个国家的语言知之甚少，他们雇用了一个翻译员帮他们制定文件，为了他们的社区低声下气。
REMOVE_EVTOPTB2000;大麻烦。不能有社区。
REMOVE_EVTOPTA2000;让他们建立自己的社区。
EVTNAME2010;移民就业
EVTDESC2010;“已经二十天了。二十天没有工作，没有钱，家里人衣不蔽体、箪食瓢饮。已经二十天了……当你不得不到处翻垃圾箱来找点吃的的时候，二十天简直是无尽的黑夜。我不想去乞讨，我不想去偷窃，但我已经失业二十天了……”\n\n一些移民，他们背井离乡来到你的国家，却很少能找到工作。
EVTOPTA2010;别管他们。
EVTOPTB2010;鼓励当地企业雇用
REMOVE_EVTNAME2020;联姻
REMOVE_EVTDESC2020;“她的丈夫第一次与她跳舞时，她的眼睛放着光芒。别管那些闲言碎语，嘲笑和白眼，她对着她的丈夫微笑着，望着他的黑皮肤与雪白的牙齿。一个黑人与一个上层社会白人女士的婚姻在社会上产生了强烈反响，但这对年轻的夫妇并不在乎。”
REMOVE_EVTOPTA2020;祝他们好运。
REMOVE_EVTOPTB2020;我很震惊！
EVTNAME2030;改变你的名字
EVTDESC2030;“安雅·耶斯-什么？”\n“阿尼亚·耶斯萨卡。我的名字没法准确发音吗？”\n“有点。你想改变它吗？不然你找工作会有点困难。”\n\n新移民的名字难以准确读出，这给他们找工作带来了一点问题。
EVTOPTA2030;“改成安雅·杰斯克”
EVTOPTB2030;“我会继续叫阿尼亚·耶斯萨克”
EVTNAME2040;拥有一个家
EVTDESC2040;大量迁入国家的外来移民带起了住房市场的需求。新居所的建造要加快了，据报道称一二十个移民挤在一间小屋子里住已属司空见惯，这将很容易导致传染病的传播、骚乱以及其它问题。
EVTOPTA2040;我们得加快建造。
EVTOPTB2040;别着急。
REMOVE_EVTNAME2050;入籍
REMOVE_EVTDESC2050;第一批移民来到这里已经五年了。经过这五年，移民可以申请公民权了，变成一个真正的公民而不再是外国人。
REMOVE_EVTOPTA2050;给他们公民权。
REMOVE_EVTOPTB2050;才这么几年……
REMOVE_EVTNAME2060;提前入籍
REMOVE_EVTDESC2060;“在这个国家的五年生活，在$COUNTRY$生活中的运用，语言已经说得很好了，并且也有了美满的婚姻，一个当地的女士……恭喜获得公民权！现在你只需要在这和这牵上你的名字……”\n\n越来越多的针对外国人的政策好像没能阻止他们成为本国公民。
REMOVE_EVTOPTA2060;很好。
REMOVE_EVTOPTB2060;气愤。
REMOVE_EVTNAME2070;大规模入籍
REMOVE_EVTDESC2070;移民已经脱离了原来的暴君到达$PROVINCENAME$，需要尽快将他们入籍。为了进行大规模入籍，一个议案已经通过，本国将向移民张开双臂欢迎其到来。
REMOVE_EVTOPTA2070;好的。
REMOVE_EVTNAME2080;不入籍
REMOVE_EVTDESC2080;“你一直认为这个国家的公民权没有价值。你要在30天内离开$COUNTRY$，否则将面临四年的监禁。”\n\n法官就是如此苛刻。此人反对国家的罪行还不足以将其投入监狱，但已经足以剥夺其公民权并驱逐出境。
REMOVE_EVTOPTA2080;好的
REMOVE_EVTNAME2090;隔离
REMOVE_EVTDESC2090;学校隔离，商店隔离，甚至连洗手间都隔离。移民与公民间的种族隔离已经上升到了一个新的高度，造成了愤怒与不满。
REMOVE_EVTOPTA2090;很好。
REMOVE_EVTOPTB2090;糟糕。
REMOVE_EVTNAME2100;贫民区
REMOVE_EVTDESC2100;越来越多的移民涌进了住宅区。所以这里被叫做贫民区，城市里一些少数民族聚集的特别区域，正在慢慢出现。这里环境很差，街道狭长，移民与少数民族拥挤的住房简直要把这里填满了。
REMOVE_EVTOPTA2100;太好了……
REMOVE_EVTNAME2110;移居
REMOVE_EVTDESC2110;'最后一个离开的人看着他们的老家，泪水最终留下了他的面颊。无奈地耸耸肩，希望能减轻离家的痛苦，也许永远也回不来了。满载着邻居与亲戚的货轮不会为他等待。他打点好行李上了船，希望在新的地方有一个光明的未来，不再挨饿受冻。在前往新国家后，他和他的伙伴要创建一个移民区，其中也包含着某天能重返家园的希望。'
REMOVE_EVTOPTA2110;让他们创建一个移居区。
REMOVE_EVTOPTB2110;他们不会再回去了。
ANN_liberal_2;维新会
