#Powered_by_ParaTranz
AI_FEARS_US_TITLE1;$TAG_0_0_UPPER$ Fears Our Might!
AI_FEARS_OTHER_TITLE1;$TAG_0_0_ADJ$ Fear
AI_FEARS_OTHER_DESC1_LONG;A recent article in the $TAG_0_0_ADJ$ newspaper has shocked their nation! Through an in-depth analysis of tensions between our two nations and a careful comparison of our respective military strengths, the author concludes that war between our nations will soon break out, and when that day comes, the very existence of $TAG_0_0$ will be gravely threatened. Citizens of $TAG_0_0$ from all walks of life are unanimously demanding that their government seek alliance with a Great Power to reduce the threat posed by $TAG_0_1$.
AI_FEARS_OTHER_DESC1_MEDIUM;A recent article in the $TAG_0_0_ADJ$ newspaper has shocked their nation! Through an in-depth analysis of tensions between that country and our nation, and a careful comparison of our respective military strengths, the author concludes that without guarantees from other nations, war between the two countries will be unavoidable.
AI_FEARS_OTHER_DESC1_SHORT;A recent article in the $TAG_0_0_ADJ$ newspaper has shocked their nation! After analyzing tensions between the two nations, the article concludes that war is inevitable.
AI_FEARS_OTHER_TITLE2;$TAG_0_0_ADJ$ Fear
AI_FEARS_OTHER_DESC2_LONG;According to inside sources in the $TAG_0_0_ADJ$ government, a sense of crisis pervades the upper echelons. Many predict that the dispute between their country and $TAG_0_1$ will lead to international conflict, in which $TAG_0_0$ would have little chance of victory. Therefore, rumors abound that they are considering the possibility of having to fight and are actively preparing for war. Fear seems to have spread to the populace as well; they dread that defeat would mean utter catastrophe for their nation.
AI_FEARS_OTHER_DESC2_MEDIUM;$TAG_0_0_ADJ$ officials frown at the very thought of $TAG_0_1$'s recent actions. Many are vigilantly monitoring $TAG_0_1_ADJ$ moves, fearing that the eventual war will bring utter catastrophe upon their nation.
AI_FEARS_OTHER_DESC2_SHORT;Local reports suggest that both officials and citizens of $TAG_0_0_ADJ$ alike fear the military power of $TAG_0_1$. See page 4 for details.
AI_LOVES_US_TITLE1;$TAG_0_0$ — Our Best Friend
AI_LOVES_US_DESC1_LONG;Would you consider a $TAG_0_0_ADJ$ citizen your best friend? Perhaps. But it's clear they see us as partners rather than rivals! Many diplomats and envoys in our capital have stated that our two nations should become allies if war breaks out. "In these troubled times, we must support each other all the more; especially when we look around and find no friendly neighbors on our borders, the bond of alliance becomes all the more precious!" said a diplomat in an interview.
AI_LOVES_US_DESC1_MEDIUM;The $TAG_0_0_ADJ$ ambassador to our nation has publicly stated that our two great nations should form an alliance. According to official sources, relations between our two countries have reached an all-time high, and a consensus on military cooperation may soon be reached.
AI_LOVES_US_DESC1_SHORT;Relations between our nation and $TAG_0_0$ are more harmonious than ever before. Political analysts unanimously agree that we are close partners and potential wartime allies.
AI_LOVES_US_TITLE2;$TAG_0_0$ Stands With Us!
AI_LOVES_US_DESC2_LONG;The $TAG_0_0_ADJ$ newspaper has published an article depicting the harmonious relations between our two nations. After mentioning numerous instances of cooperation based on friendship and mutual trust, the author declares that our two nations are friends and brothers. Using words like "credible," "reliable," and "unbreakable" to describe the relationship, the newspaper recommends that the $TAG_0_0$ government continue aligning its policies with ours, seek common interests and goals, and enhance mutual guarantees for our shared interests.
AI_LOVES_US_DESC2_MEDIUM;The $TAG_0_0_ADJ$ newspaper has published an article depicting the harmonious relations between our two nations. After mentioning numerous instances of cooperation based on friendship and mutual trust, the author declares that our two nations are friends and brothers.
AI_LOVES_US_DESC2_SHORT;The $TAG_0_0_ADJ$ newspaper has published an article depicting the harmonious relations between our two nations. The author encourages their government to continue aligning its policies with ours.
AI_LOVES_US_TITLE3;$TAG_0_0$ Knows Its Place!
AI_LOVES_US_DESC3_LONG;Our nation's common sense dominates $TAG_0_0$, and the entire nation is enamored with everything $OURCOUNTRY_ADJ$. Those weaklings have recognized our clear superiority in political, cultural, and military spheres. The $TAG_0_0_ADJ$ Foreign Minister shamelessly fawns publicly before our nation's elite, saying "We welcome the paternal care and guidance from $OURCOUNTRY_ADJ$. For our mutual benefit," and "May the friendship between our two nations endure forever." Whether this situation will last remains to be seen.
AI_LOVES_US_DESC3_MEDIUM;Our nation's common sense dominates $TAG_0_0$, and the entire nation is enamored with everything $OURCOUNTRY_ADJ$. Those weaklings have recognized our clear superiority in political, cultural, and military spheres.
AI_LOVES_US_DESC3_SHORT;The $TAG_0_0_ADJ$ government and people continue to be captivated by $OURCOUNTRY$. It is clear that we hold the dominant position in every sphere.
AI_LOVES_OTHER_TITLE1;$TAG_0_0_ADJ$ Diplomatic Relations
AI_LOVES_OTHER_DESC1_LONG;The $TAG_0_0_ADJ$ newspaper has published an article depicting the harmonious relations between them and $TAG_0_1$. After mentioning numerous instances of cooperation based on friendship and mutual trust, the author declares that the two nations are friends and brothers. Using words like "credible," "reliable," and "unbreakable" to describe the relationship, the newspaper recommends that the $TAG_0_0$ government continue aligning its policies with $TAG_0_1$, seek common interests and goals, and enhance mutual guarantees for their shared interests.
AI_LOVES_OTHER_DESC1_MEDIUM;The $TAG_0_0_ADJ$ newspaper has published an article depicting the harmonious relations between them and $TAG_0_1$. After mentioning numerous instances of cooperation based on friendship and mutual trust, the author declares that the two nations are friends and brothers.
AI_LOVES_OTHER_DESC1_SHORT;The $TAG_0_0_ADJ$ newspaper has published an article depicting the harmonious relations between them and $TAG_0_1$. The article calls for forming an alliance with $TAG_0_1$.
AI_LOVES_OTHER_TITLE2;$TAG_0_0$ - $TAG_0_1$ Relations
AI_LOVES_OTHER_DESC2_LONG;"Although our two nations have been rivals throughout history, it seems the Fates have now decided we must stand together!" said a $TAG_0_0_ADJ$ government spokesperson yesterday in the capital, commenting on the recent increase in cooperation with $TAG_0_1$. The removal of some tariffs between the two nations and frequent visits by the $TAG_0_0_ADJ$ ambassador suggest that a military alliance is likely to be forged to further cement their friendship.
AI_LOVES_OTHER_DESC2_MEDIUM;$TAG_0_0_ADJ$ diplomats appeared smiling at the high-level meetings held in $TAG_0_1_ADJ$ capital. "$TAG_0_1$ is our natural ally," said a $TAG_0_0_ADJ$ official. Political analysts predict that the two sides will soon sign an alliance.
AI_LOVES_OTHER_DESC2_SHORT;"May our $TAG_0_1_ADJ$ brothers and we prosper together in the future!" is the latest slogan of the $TAG_0_0_ADJ$ ruling party. Many see this as a harbinger of an impending military alliance between the two sides.
OTHER_NEW_GP_TITLE1;$TAG_0_1_ADJ$ Rise
OTHER_NEW_GP_DESC_LONG1;With the decline of $TAG_0_0$, $TAG_0_1$ will have the opportunity to emerge and join the ranks of the world's Great Powers. In recent months, much evidence has demonstrated $TAG_0_0$'s faltering economy, weak military, and diminished prestige, making it unreliable for its allies, and its government has begun to yield to foreign demands. $TAG_0_0$'s decline in international standing has benefited $TAG_0_1$, allowing it to gain international respect. This proves the truth of survival of the fittest.
OTHER_NEW_GP_DESC_MEDIUM1;With the decline of $TAG_0_0$, $TAG_0_1$ will have the opportunity to emerge and join the ranks of the world's Great Powers, earning international respect. This proves the truth of survival of the fittest.
OTHER_NEW_GP_DESC_SHORT1;With the decline of $TAG_0_0$, $TAG_0_1$ will have the opportunity to emerge and join the ranks of the world's Great Powers.
WE_BECOME_GP_TITLE1;We Benefit From $TAG_0_0_ADJ$ Decline
WE_BECOME_GP_DESC_LONG1;With the decline of $TAG_0_0$, our nation will emerge and proudly join the ranks of the world's Great Powers. In recent months, much evidence has demonstrated $TAG_0_0$'s faltering economy, weak military, and diminished prestige, making it unreliable for its allies, and its government has begun to yield to foreign demands. Its decline in international standing has benefited our nation, which will replace it as a Great Power. This proves the truth of survival of the fittest.
WE_BECOME_GP_DESC_MEDIUM1;With the decline of $TAG_0_0$, our nation will emerge and proudly join the ranks of the world's Great Powers. Its decline in international standing has benefited our nation, which will replace it as a Great Power.
WE_BECOME_GP_DESC_SHORT1;With the decline of $TAG_0_0$, our nation will emerge and proudly join the ranks of the world's Great Powers.
WE_LOSE_GP_TITLE1;$TAG_0_1$ Benefits From Our Decline
WE_LOSE_GP_DESC_LONG1;With the decline of our nation, $TAG_0_1$ will have the opportunity to emerge and join the ranks of the world's Great Powers. In recent months, much evidence has demonstrated our nation's faltering economy, weak military, and diminished prestige, making us unreliable for our allies, and our government has begun to yield to foreign demands. Our nation's decline in international standing has benefited $TAG_0_1$, allowing it to gain international respect. This proves the truth of survival of the fittest.
WE_LOSE_GP_DESC_MEDIUM1;With the decline of our nation, $TAG_0_1$ will have the opportunity to emerge and join the ranks of the world's Great Powers, earning international respect. This proves the truth of survival of the fittest.
WE_LOSE_GP_DESC_SHORT1;With the decline of our nation, $TAG_0_1$ will have the opportunity to emerge and join the ranks of the world's Great Powers.
CRISIS_START_TITLE1;Crisis Erupts!
CRISIS_START_DESC_LONG1;Whether there is still room for a peaceful resolution remains uncertain, as the Great Powers find themselves embroiled in an impending international crisis. Nations may still be attempting to reach a diplomatic solution, but time is running out, and as conflicting parties make exorbitant demands and wield political threats to demonstrate strength and avoid concessions, a resolution remains elusive. Nations will soon march onto the battlefield of war.
CRISIS_START_DESC_MEDIUM1;The Great Powers are embroiled in an impending international crisis. Nations may still be attempting to reach a diplomatic solution, but time is running out, and as conflicting parties make exorbitant demands and wield political threats to demonstrate strength and avoid concessions, a resolution remains elusive.
CRISIS_START_DESC_SHORT1;The Great Powers are embroiled in an impending international crisis. Nations may still be attempting to reach a diplomatic solution, but time is running out.
CRISIS_END_TITLE1;Crisis Averted!
CRISIS_END_DESC_LONG1;"This is the peace of our era," declared the Great Powers at the high-level conference convened to resolve the brewing international crisis through diplomatic means. Many believe that without this compromise, "this crisis would inevitably lead to war," and "our people would never wish to take up arms," as both parties to the crisis declared. However, careful observers will note that one side emerged victorious from this crisis, while the other had to swallow the bitter pill of concessions and lost face, leading one to wonder how long the agreement reached through this compromise will hold.
CRISIS_END_DESC_MEDIUM1;"This is the peace of our era," declared the Great Powers at the high-level conference convened to resolve the brewing international crisis through diplomatic means. Many believe that without this compromise, this crisis would inevitably lead to war.
CRISIS_END_DESC_SHORT1;"This is the peace of our era," declared the Great Powers at the high-level conference convened to resolve the brewing international crisis, eliminating the possibility of war.
RESEARCH_NEWS_TITLE_LARGE2;$TAG_0_0_ADJ$ New Breakthrough!
RESEARCH_NEWS_LARGE2;Scientists from $TAG_0_0_ADJ$ announced that after a month of dedicated and concentrated efforts, a new breakthrough in the research of $STRING_0_1$ was achieved yesterday. It is believed that the government and enterprises of $TAG_0_0$ will soon put this important technology to practical use throughout the nation.
RESEARCH_NEWS_TITLE_MEDIUM2;$TAG_0_0_ADJ$ New Breakthrough!
RESEARCH_NEWS_MEDIUM2;Scientists from $TAG_0_0_ADJ$ announced that after a month of dedicated and concentrated efforts, a new breakthrough in the research of $STRING_0_1$ was achieved yesterday. This new knowledge will soon be put to practical use.
RESEARCH_NEWS_TITLE_SMALL2;$TAG_0_0_ADJ$ New Breakthrough!
RESEARCH_NEWS_SMALL2;Scientists from $TAG_0_0_ADJ$ have announced a new breakthrough in the research of $STRING_0_1$.
COMMUNIST_REVOLUTION_NEWS_TITLE_LARGE_COMMUNIST;Communists Prevail in $TAG_0_0_UPPER$!
COMMUNIST_REVOLUTION_NEWS_LARGE_COMMUNIST;"Workers of the world, unite!" Once again we have achieved revolutionary victory in the midst of our united cry. The decadent capitalist forces cannot stop the proletariat's great aspiration for a happy future. The organization received good news from comrades fighting on the revolutionary front in $TAG_0_0$; they launched an uprising against the parasites who exploit and torment the working masses. They successfully seized power, returning it to the people, to be exercised by their representatives — $STRING_0_0$!
COMMUNIST_REVOLUTION_NEWS_TITLE_MEDIUM_COMMUNIST;Crimson $TAG_0_0_UPPER$!
COMMUNIST_REVOLUTION_NEWS_MEDIUM_COMMUNIST;"Workers of the world, unite!" Today, the cry of unity resounds through $TAG_0_0$, where our comrades have successfully overthrown the government and established a true people's party — $STRING_0_0$!
COMMUNIST_REVOLUTION_NEWS_TITLE_SMALL_COMMUNIST;Revolution!
COMMUNIST_REVOLUTION_NEWS_SMALL_COMMUNIST;"Workers of the world, unite!" Today, the cry of unity resounds through $TAG_0_0$, where our comrades have successfully overthrown the corrupt bourgeois charlatans!
battle_we_lose_large_censored_press;Frontline journalists report that on $DATE_LONG_0$, our brave troops encountered $TAG_0_3_ADJ$ forces at $STRING_0_3$. After fierce fighting, our forces successfully withdrew. Now the enemy is exposed while we remain hidden; they are about to fall into our trap. Our troops fought valiantly, killing $VALUE_INT_0_4$ enemy soldiers. $VALUE_INT_0_2$ of our troops still need to report back to duty, as many have scattered into small units, penetrated deep behind enemy lines, and lie in ambush to destroy the enemy, demonstrating their determination to sacrifice for the nation and their ghostly tactical prowess!
battle_we_lose_medium_censored_press;On $DATE_LONG_0$, our brave troops encountered $TAG_0_3_ADJ$ forces at $STRING_0_3$. After fierce fighting, our forces successfully withdrew. Now the enemy is exposed while we remain hidden; they are about to fall into our trap. Our troops fought valiantly, killing $VALUE_INT_0_4$ enemy soldiers. It is believed that $VALUE_INT_0_2$ of our troops have scattered into small units, penetrated deep behind enemy lines, and lie in ambush to destroy the enemy, demonstrating their determination to sacrifice for the nation and their ghostly tactical prowess!
battle_we_lose_small_censored_press;On $DATE_LONG_0$, our forces clashed with $TAG_0_3$ on a narrow path. After fierce fighting, our forces successfully withdrew. It is believed that $VALUE_INT_0_2$ of our troops have scattered into small units, penetrated deep behind enemy lines, and lie in ambush to destroy the enemy!
battle_we_lose_censored_title_large;Enemy Forces Held at $STRING_0_3$!
battle_we_lose_censored_large;"In some areas, the enemy forces were as much as 40 times greater than ours, but our boys held their ground." A senior officer highly praised the soldiers' valor; he had done everything strategically possible to delay the enemy's fierce assault on $STRING_0_3$, and our opponent suffered at least $VALUE_INT_0_2$ casualties. "We cannot yet release figures on our own casualties," a government official responded when asked about our losses. To the skeptics, he emphasized: "Our people must give their full support to the government when it comes to matters of national defense."
battle_we_lose_censored_title_medium;Enemy Advance Delayed at $STRING_0_3$
battle_we_lose_censored_medium;Our brave troops successfully delayed the enemy's incursion into our territory, fighting valiantly against $TAG_0_2$'s vastly superior forces. A senior officer declared
battle_we_lose_censored_title_small;Moral Victory at $STRING_0_3$
battle_we_lose_censored_small;On $DATE_LONG_0$, our forces successfully withdrew from the battlefield at $STRING_0_3$, inflicting $VALUE_INT_0_2$ casualties on the enemy. $TAG_0_2$ currently occupies the area.
war_we_lose_censored_large_title;Veterans of a Hundred Battles Return.\nPeace Treaty Signed With $TAG_2_0_UPPER$!
war_we_lose_censored_large_desc;On $DATE_LONG_1$, our government decided to make peace with $TAG_2_0$. This war, known to the world as $STRING_0_0$, broke out on $DATE_SHORT_0$ at $STRING_9_0$, and ended with $STRINGS_LIST_4$. "We did not retreat, and we should be proud of our boys; we showed the world through our actions that we are no pushover," government officials declared. "But ultimately, we decided it was not worth shedding more blood of our young people." Citizens are delighted that their brave children are coming home, though no official celebration plans have been announced yet.
war_we_lose_censored_medium_title;Peace With $TAG_2_0_UPPER$!
war_we_lose_censored_medium_desc;On $DATE_LONG_1$, our government decided to make peace with $TAG_2_0$. This war, known to the world as $STRING_0_0$, broke out on $DATE_SHORT_0$ at $STRING_9_0$, and ended with $STRINGS_LIST_4$.
war_we_lose_censored_small_title;Peace With $TAG_2_0$
war_we_lose_censored_small_desc;$STRING_0_0$ has ended. We never expected to be defeated by $TAG_2_0$.
CRISIS_START_TITLE2;Tensions Escalate!
CRISIS_START_DESC_LONG2;With the pressure that has gradually built up over the past few months, diplomatic tensions surrounding $STRING_0_0$ have brought us an international crisis. The Great Powers are seeking a peaceful solution to prevent further escalation, but some nations see this as an opportunity to expand their influence. To increase their influence, the Great Powers have launched a frenzied diplomatic offensive. If no solution is ultimately reached and the two sides remain in confrontation, any spark in $STRING_0_0$ could ignite a major war.
CRISIS_START_DESC_MEDIUM2;The Great Powers are competing for influence in $STRING_0_0$ as tensions in the region escalate sharply. The Great Powers are seeking a peaceful solution to prevent further escalation, but whether conflict can be avoided remains unknown.
CRISIS_START_DESC_SHORT2;While the Great Powers attempt to gain influence in $STRING_0_0$, tensions have escalated into a major crisis. Active diplomatic mediation has been launched to avoid war.
CRISIS_END_TITLE2;All Clear
CRISIS_END_DESC_LONG2;Relieving news is spreading quickly: the solution to $STRING_0_0$, the focus of recent diplomatic attention, has been reached. <CrisisWinner++++++> has successfully expanded its influence with the support of the Great Powers. After weeks of diplomatic mediation at international conferences, the crisis has finally ended. The threat of war has been temporarily eliminated, but not everyone is satisfied with the outcome, and it remains unknown whether other Great Powers will continue to challenge <CrisisWinner++++++> in the future.
CRISIS_END_DESC_MEDIUM2;Through the mediation of diplomatic conferences among the Great Powers, a peaceful solution has been reached for the international crisis over $STRING_0_0$. <CrisisWinner++++++> has successfully expanded its influence without resorting to war, but whether the peace will endure remains to be seen.
CRISIS_END_DESC_SHORT2;Through the mediation of diplomatic conferences among the Great Powers, a peaceful solution has been reached for the international crisis over $STRING_0_0$, thereby avoiding war. <CrisisWinner++++++> has successfully expanded its influence.
OTHER_NEW_GP_DESC_LONG2;$TAG_0_1$ has seen its international stature rise steadily over the past few years and is now regarded as one of the world's Great Powers. The prestige of $TAG_0_1_ADJ$ has also flourished thanks to international acceptance of its status, and we believe $TAG_0_1$ will further expand its influence. $TAG_0_0$ has been unable to halt its recent decline and is now generally considered merely a second-rate power. This reduction in international standing has had broad implications, and its international influence has been markedly diminished.
OTHER_NEW_GP_DESC_MEDIUM2;$TAG_0_1$ has been universally recognized by the international community as a world Great Power. This is recognition of its steadily growing national strength, but not everyone is pleased. $TAG_0_0$ is considered to have only second-tier power due to its recent decline.
OTHER_NEW_GP_DESC_SHORT2;The rising $TAG_0_1$ has replaced $TAG_0_0$ as a Great Power recognized by the international community, and its international standing and influence will both increase.
AI_LOVES_US_TITLE4;Raging Relations
AI_LOVES_US_DESC4_LONG;Our correspondent learned from his sources at the Foreign Ministry that the leader of $TAG_0_0$ recently gave a major speech before his people, lavishing praise on the achievements of our nation and our people. There is reason to believe this is an attempt by $TAG_0_0$ to draw closer to our great nation. Naturally, we should respond to this overture with the traditional courtesy of $TAG_0_1_ADJ$. We welcome these gestures and eagerly anticipate that they will usher in a period of deeper cooperation between our two honored nations.
AI_LOVES_US_DESC4_MEDIUM;Following a reportedly very constructive meeting with our ambassador last week, a $TAG_0_0_ADJ$ people's representative followed in the diplomat's footsteps by giving a speech praising our nation and our government, signaling that the door to further cooperation between our two nations has been opened.
AI_LOVES_US_DESC4_SHORT;"A new era of friendship between our two nations has begun!" said the $TAG_0_0_ADJ$ ambassador at a recent press conference in the capital.
INVENTION_NEWS_TITLE_LARGE2;New Patent!
INVENTION_NEWS_LARGE2;Science Report: Improvements and innovations to $STRING_0_1$ have been patented by researchers from $TAG_0_0$. Details of this achievement are currently kept secret, but there is reason to believe it will gradually spread to other nations and contribute to world scientific research.
INVENTION_NEWS_TITLE_MEDIUM2;New Patent!
INVENTION_NEWS_MEDIUM2;Improvements and innovations to $STRING_0_1$ have been patented by researchers from $TAG_0_0$ at the national patent office.
INVENTION_NEWS_TITLE_SMALL2;New Patent!
INVENTION_NEWS_SMALL2;Improvements and innovations to $STRING_0_1$ have been patented in $TAG_0_0$.
EDITORIAL_ABSMON;EDITORIAL: Why is it right and reasonable to hate anti-establishmentarians? Because it is the will of Heaven! Because these idlers would incite peasants and workers to govern themselves (see page 10)
EDITORIAL_PRUCON;EDITORIAL: Why is it reasonable to hate all reformers? Because it is demanded by the laws of nature! Because these liberal opportunists and cosmopolitans would turn our nation into a brothel (see page 10)
EDITORIAL_CONMON;EDITORIAL: Why is it reasonable to hate republicans? Because stability outweighs everything! Because without the benevolent smile of the monarch, plots and unrest would destroy us all (see page 10)
EDITORIAL_DEMOCRACY;EDITORIAL: Why is it reasonable to hate all revolutionaries? Because they do not accept compromise! Because these fanatical and rigid dogmatists do not respect the law (see page 10)
EDITORIAL_PRESDICT;EDITORIAL: Why is it reasonable to hate subversives? Because it is the President's demand! Because these criminals brutally destroyed the statue of our beloved Excellency in the capital yesterday (see page 10)
EDITORIAL_BOURDICT;EDITORIAL: Why is it reasonable to hate the poor? Because your own rational self-interest demands it! Because these parasites choose to be poor, and kindness toward them would threaten you. (see page 10)
EDITORIAL_PROLDICT;EDITORIAL: Why is it reasonable to hate parasites? Because it is the Party's demand! Because even the lowliest village baker is a pioneer of the nation. Only by overthrowing the rich can we liberate ourselves! (see page 10)
EDITORIAL_FASCDICT;EDITORIAL: Why is it reasonable to hate parasites? Because it is the Party's demand! Because even the lowliest village baker is a pioneer of the nation. Only by overthrowing the rich can we liberate ourselves! (see page 10)
FAKE_UNKNOWN;Another unexpected side effect of Prohibition has emerged. To make homemade liquor more palatable, the American people have pioneered a whole new range of cocktails.
FAKE_Cthulhu;Ph'nglui mglw'nafh Cthulhu R'lyeh wgah'nagl fhtagn (In his house at R'lyeh, dead Cthulhu waits dreaming)
some_fake_1836_title_12;Cherry Blossom
some_fake_1836_12;The Japanese government has declared the new national color to be "cherry blossom," as it best embodies the character of this mystical land. Calling cherry blossom "pink" will be illegal.
some_fake_1836_title_13;Great River
some_fake_1836_13;A team of American cartographers has published the most precise maps of the "Great River," the Ohio River. Data on this river will be included in future local and international maps. More rivers remain to be surveyed.
some_fake_1836_title_14;Jan Mayen Island
some_fake_1836_14;An unexpected wave of immigrants has reportedly flooded the barren island of Jan Mayen in the Arctic Ocean. "We've grown tired of all the noise," said a pioneer.
some_fake_1880_title_8;Madness
some_fake_1880_8;Recent legislation stipulates that when a ship arrives at our ports, the captain must pay a fine if any passenger deemed insane, foolish, or criminal is allowed to disembark.
some_fake_1890_title_8;The Lucky 55th
some_fake_1890_8;54 lottery winners together set a new record for single-prize lottery winnings. "I can't find my ticket!" lamented the self-proclaimed 55th winner helplessly.
some_fake_1910_title_11;Daring Hoax
some_fake_1910_11;A group of young nobles, wearing turbans and blackening their faces to disguise themselves as Ethiopian nobles, boarded a Royal Navy flagship for a private tour.
some_fake_1910_title_12;Radio Ruins Culture?
some_fake_1910_12;The recent rise of radio broadcasting has fueled concerns that it may undermine social order. Supporters argue that only radical stations and spy broadcasts need cause alarm.
some_fake_1910_title_13;Whip Rebellion
some_fake_1910_13;Black sailors of the Brazilian Navy have launched a mutiny against their white officers. They threaten to shell Rio de Janeiro if racial abuse and physical violence against lower-ranking sailors do not cease.
some_fake_1920_title_13;Men's Dress Reform Party
some_fake_1920_13;The new movement encourages men to dress more beautifully and hygienically. "Most members prefer shorts, a minority favors kilts, and almost everyone hates trousers." The Men's Dress Reform Party also opposes wearing hats.
dino_fake_1830_title_1;Ichnology
dino_fake_1830_1;Professor Hitchcock reports the discovery of fossil bird tracks near the Connecticut River in Massachusetts. Some of the tracks appear to belong to certain very large bird species...
dino_fake_1830_title_2;Plateosaurus
dino_fake_1830_2;Dr. von Meyer has named a new giant reptile species Plateosaurus engelhardti, after its discoverer Dr. Engelhardt. This creature appears to be related to Iguanodon and Megalosaurus.
dino_fake_1830_title_3;Thecodontosaurus
dino_fake_1830_3;"The teeth of this unusual reptile are not set in the lower jaw like those of modern reptiles, but are set in sockets," Drs. Riley and Stutchbury describe this reptilian creature.
dino_fake_1830_title_4;Polyonax
dino_fake_1830_4;Dr. Deslongchamps reports the discovery of a new reptilian creature from fossil vertebrae, ribs, and limb bones. He believes this animal is related to Megalosaurus.
dino_fake_1840_title_1;Dinosauria
dino_fake_1840_1;Dinosauria was proposed by Dr. Owen to name a large group of reptiles, including Megalosaurus, Hylaeosaurus, and Iguanodon. These dinosaurs are characterized by their enormous size.
dino_fake_1840_title_2;Cetiosaurus
dino_fake_1840_2;Fossils of a new giant aquatic reptile have been discovered. Dr. Owen has named it Cetiosaurus, meaning "giant sea monster."
dino_fake_1840_title_3;Cardiodon
dino_fake_1840_3;A heart-shaped tooth was discovered in Wiltshire, England. After analyzing it, Dr. Owen decided to name this animal Cardiodon.
dino_fake_1840_title_4;Regnosaurus
dino_fake_1840_4;As additional Iguanodon jawbones were discovered, Dr. Mantell realized that fossils he had previously assumed belonged to Iguanodon actually belonged to a different species.
dino_fake_1840_title_5;Dinosauria?
dino_fake_1840_5;Biologist Richard Owen created the first life-sized concrete statues of these long-extinct giants, whose fossils have been found in South Africa and New Zealand. Dr. Owen collectively named them "dinosaurs."
dino_fake_1850_title_1;Dinosaurs of America
dino_fake_1850_1;Dr. Leidy announced the discovery of two new dinosaurs in America, named Trachodon and Deinodon. Two other as-yet-unidentified reptiles, Palaeoscincus and Troodon, were also found.
dino_fake_1850_title_2;Hadrosaurus
dino_fake_1850_2;This new dinosaur appears to be related to Iguanodon. Dr. Leidy believes this creature could maintain a bipedal posture.
dino_fake_1860_title_1;Compsognathus
dino_fake_1860_1;A new reptilian creature was discovered and named Compsognathus. Dr. Wagner said these large lizards resemble certain birds, though their relationship is still unclear.
dino_fake_1860_title_2;Archaeopteryx
dino_fake_1860_2;A remarkable fossilized feather was discovered, which Dr. von Meyer named Archaeopteryx.
dino_fake_1860_title_3;Johnson's Star-Toothed Lizard!
dino_fake_1860_3;Because Dr. Johnson discovered and named the teeth of the star-toothed lizard, Dr. Leidy completed the naming in his honor — a privilege awarded to Dr. Johnson.
dino_fake_1860_title_4;Dryptosaurus
dino_fake_1860_4;Professor Cope announced the discovery of a giant predatory dinosaur, related to Megalosaurus and Ophidia.
dino_fake_1860_title_5;Elasmosaurus
